Estimate Std. Error Pr(>|t|)
af 5.11 0.433 3.68e-32
afprs 0.253 0.0559 6.02e-06
af:afprs -0.573 0.377 0.128
chisq test mod0 vs. mod int NA NA 0.128
af 4.92 0.262 1.33e-78
afprs 0.211 0.0338 4.31e-10
af:afprs -0.0595 0.228 0.794
chisq test mod0 vs. mod int NA NA 0.794
af -6.26 0.356 4.58e-69
afprs -0.346 0.0459 4.73e-14
af:afprs -0.725 0.309 0.0191
chisq test mod0 vs. mod int NA NA 0.019
af -2.15 0.295 3.02e-13
afprs 0.0316 0.0381 0.407
af:afprs -0.173 0.256 0.499
chisq test mod0 vs. mod int NA NA 0.499
af -5.96 0.322 4.86e-76
afprs -0.268 0.0416 1.11e-10
af:afprs -0.589 0.28 0.0355
chisq test mod0 vs. mod int NA NA 0.0355
