paracetamol	102081
aspirin	72946
ibuprofen	67393
simvastatin	64395
omeprazole	35767
glucosamine product	34219
bendroflumethiazide	30059
cod liver oil capsule	29961
ramipril	27390
amlodipine	26241
Free-text entry, unable to be coded	25966
levothyroxine sodium	24113
atorvastatin	21576
lansoprazole	20803
atenolol	20570
omega-3/fish oil supplement	19878
multivitamins	16506
metformin	16101
lisinopril	15779
ventolin 100micrograms inhaler	15746
co-codamol	12482
diclofenac	10710
amitriptyline	10532
bisoprolol	9595
citalopram	9557
ranitidine	9339
evening primrose oil	8103
perindopril	7863
multivitamin+mineral preparations	7405
garlic product	6748
allopurinol	6623
doxazosin	6615
salbutamol	6551
alendronate sodium	6549
candesartan cilexetil	6530
chondroitin product	6509
cetirizine	6484
vitamin c product	6443
thyroxine product	6389
fluoxetine	6293
seretide 50 evohaler	6292
losartan	6085
tramadol	5928
insulin product	5788
tamsulosin	5753
warfarin	5692
calcichew d3 tablet	5605
gliclazide	5231
beclometasone	4813
felodipine	4748
folic acid product	4700
irbesartan	4202
adcal-d3 1.5g/10micrograms chewable tablet	4165
enalapril	4126
loratadine	4124
clopidogrel	4106
furosemide	4084
naproxen	4055
lipitor 10mg tablet	3967
vitamin b compound tablet	3932
propranolol	3739
quinine	3641
beconase 50micrograms nasal spray	3610
aspirin 75mg tablet	3555
zinc product	3546
rosuvastatin	3513
salbutamol 100micrograms spacehaler	3499
symbicort 100/6 turbohaler	3413
co-dydramol	3334
prednisolone	3269
becotide 50 inhaler	3266
calcium salts	3246
ezetimibe	3219
bendrofluazide	3146
pravastatin	3129
methotrexate	3059
gaviscon liquid	2987
ferrous sulphate	2962
ginkgo forte tablet	2896
codeine	2868
gabapentin	2762
sertraline	2705
mebeverine	2698
nasonex 0.05% aqueous nasal spray	2655
valsartan	2593
fluticasone	2546
vitamin d product	2525
calcium+vitamin d 500units tablet	2465
finasteride	2356
venlafaxine	2230
flixonase 50micrograms aqueous nasal spray	2157
premarin 625micrograms tablet	2156
beclomethasone	2126
qvar 50 inhaler	2092
indapamide	2085
vitamin e product	1931
fexofenadine	1887
zopiclone	1883
co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	1882
adcal 600mg chewable tablet	1878
food supplement/plant/herbal extract	1859
esomeprazole	1854
betnovate cream	1817
dosulepin	1807
tamoxifen	1798
dihydrocodeine	1796
isosorbide mononitrate	1785
vitamin b12 preparation	1782
paroxetine	1763
loperamide	1761
nicorandil	1732
iron product	1722
movicol oral powder	1706
vagifem 25mcg pessary	1697
glyceryl trinitrate	1695
betahistine	1660
salamol 100micrograms inhaler	1634
mirtazapine	1605
selenium product	1602
lercanidipine	1572
sumatriptan	1522
oxytetracycline	1515
xalatan 0.005% eye drops	1502
meloxicam	1483
vitamin c product	1483
diazepam	1457
thyroxine sodium	1456
lactulose product	1450
beclazone 50 inhaler	1439
serevent 25mcg inhaler	1382
digoxin	1371
tiotropium	1345
salmeterol	1335
pregabalin	1331
calcichew 1.25g chewable tablet	1321
alfuzosin	1318
latanoprost	1318
nifedipine	1308
cerazette 75micrograms tablet	1305
oxybutynin	1280
viscotears liquid eye gel	1275
adalat 5mg capsule	1264
gtn 400micrograms spray	1262
bricanyl 250mcg inhaler	1217
pioglitazone	1202
minerals - magnesium	1192
azathioprine	1163
tegretol 100mg tablet	1157
budesonide	1145
mometasone	1143
montelukast product	1143
evening primrose oil product	1133
diltiazem	1129
sildenafil	1112
fybogel orange s/f granules	1103
domperidone	1100
tolterodine l-tartrate	1085
terbinafine	1079
senna	1073
kliovance 1mg/0.5mg tablet	1071
risedronate sodium	1067
tildiem 60mg m/r tablet	1064
elleste duet conti tablet	1059
temazepam	1059
estradiol product	1058
rino clenil 50micrograms nasal spray	1056
spironolactone	1053
pantoprazole	1040
solifenacin	1037
metoprolol	1026
sulfasalazine	1019
ezetrol 10mg tablet	1002
hydrocortisone	999
premique 0.625mg/5mg tablet	983
hypromellose	981
dipyridamole	965
escitalopram	957
verapamil	957
calcium carbonate+cholecalciferol 1.25g/200iu tablet	953
salmeterol+fluticasone propionate	952
rabeprazole sodium	945
flecainide	939
frusemide	931
tibolone	924
elleste-solo 1mg tablet	913
arimidex 1mg tablet	909
st john's wort/hypericum [ctsu]	898
hydroxychloroquine	896
nexium 20mg tablet	895
gtn - glyceryl trinitrate	891
flixotide 25micrograms inhaler	885
epilim 100mg crushable tablet	882
diprobase cream	880
betamethasone	868
imigran 50mg tablet	864
femoston 1/10 tablet	856
mirena 52mg intrauterine system	854
flax oil tablet	847
telmisartan	844
evorel 25 patch	835
carbamazepine	822
salbutamol product	822
lacri-lube eye ointment	812
pulmicort ls 50micrograms inhaler	810
dermovate cream	808
sotalol	806
piriton 4mg tablet	805
detrusitol 1mg tablet	798
terbutaline	790
pizotifen	789
fybogel mebeverine sachet	782
asacol 400mg e/c tablet	781
mesalazine	781
prempak 0.625 tablet	780
estraderm mx 25 patch	776
fenofibrate	774
starflower oil	771
spiriva 18micrograms inhalation capsule	766
co-tenidone	759
rosiglitazone	759
mirena 20mcg/24hrs intrauterine system	753
thiamine preparation	750
microgynon 30 tablet	746
prochlorperazine	743
ginseng product	738
arthrotec tablet	735
micronor tablet	731
trazodone	730
tadalafil	713
desloratadine	695
tranexamic acid	695
prozac 20mg capsule	694
simvador 10mg tablet	692
livial 2.5mg tablet	690
lamotrigine	685
seroxat 20mg tablet	683
omacor 1g capsule	682
clonidine	674
