"outcome"	"exposure"	"method"	"nsnp"	"b"	"se"	"pval"	"pval_egger_intercept"
"AF"	"ilamax"	"Inverse variance weighted"	8	0.218181034200154	0.176459409505427	0.216295977749551	0.016065633756267
"AS"	"ilamax"	"Inverse variance weighted"	8	-0.0388543163634809	0.120171147363541	0.746449247786726	0.784461473059614
"AIS"	"ilamax"	"Inverse variance weighted"	8	-0.0525084401287967	0.130701033475519	0.687871965317546	0.490745430734986
"CES"	"ilamax"	"Inverse variance weighted"	8	0.123054490367454	0.217775000729679	0.572037487778086	0.588944268927245
"HF"	"ilamax"	"Inverse variance weighted"	8	0.0593914348829321	0.0730016299464885	0.415895264379302	0.992686673663024
"AF"	"ilamin"	"Inverse variance weighted"	6	0.51801972011866	0.292360615431622	0.0764191400134087	0.513015711905493
"AS"	"ilamin"	"Inverse variance weighted"	6	0.284101095880248	0.123168751059485	0.0210771047775478	0.240728906469144
"AIS"	"ilamin"	"Inverse variance weighted"	6	0.221797852790889	0.143767569914032	0.12289071198589	0.198284712591076
"CES"	"ilamin"	"Inverse variance weighted"	6	0.82281940895144	0.350997044873496	0.0190661756909632	0.692757228121891
"HF"	"ilamin"	"Inverse variance weighted"	6	0.206672713806304	0.134045442029383	0.123119570325597	0.924287673709624
"AF"	"laaef"	"Inverse variance weighted"	12	-0.422786580742105	0.191626833243666	0.027362892376785	0.106317731621215
"AS"	"laaef"	"Inverse variance weighted"	12	-0.134422261368674	0.0656205114063023	0.0405130552186031	0.242173290201023
"AIS"	"laaef"	"Inverse variance weighted"	12	-0.109281931835369	0.0711775504781616	0.124699673062004	0.527027049045198
"CES"	"laaef"	"Inverse variance weighted"	12	-0.40533417231272	0.216699985973117	0.0614164346658829	0.197511014388153
"HF"	"laaef"	"Inverse variance weighted"	12	-0.1463618943552	0.0683003336627991	0.032119824519531	0.285629848589668
"AF"	"lamax"	"Inverse variance weighted"	14	0.335639247077305	0.24094074280681	0.163608755982332	0.458904183201396
"AS"	"lamax"	"Inverse variance weighted"	14	-0.0865987614363239	0.137018550852082	0.527372392467035	0.646927179915648
"AIS"	"lamax"	"Inverse variance weighted"	14	-0.126240149404817	0.162666180249401	0.437708356742277	0.679676865329311
"CES"	"lamax"	"Inverse variance weighted"	14	0.0549382251902951	0.251845080853155	0.827317745269072	0.575133057381773
"HF"	"lamax"	"Inverse variance weighted"	15	-0.0252893016803262	0.100225731241986	0.800791068595015	0.187685219420965
"AF"	"lamin"	"Inverse variance weighted"	6	0.45323844298905	0.30366356793311	0.13555037508354	0.470609401178177
"AS"	"lamin"	"Inverse variance weighted"	6	0.287960821742428	0.121019313225884	0.0173379442784045	0.266709306120722
"AIS"	"lamin"	"Inverse variance weighted"	6	0.298691286903059	0.157252177572412	0.0575064723995658	0.197828923862667
"CES"	"lamin"	"Inverse variance weighted"	6	0.930141617721684	0.315752425811911	0.00322126801586968	0.571065891459587
"HF"	"lamin"	"Inverse variance weighted"	6	0.31932421100765	0.121315607716854	0.0084839530078147	0.837840745905361
"AF"	"lapef"	"Inverse variance weighted"	5	-0.842414677702549	0.271045638338241	0.00188346702278647	0.291982367355531
"AS"	"lapef"	"Inverse variance weighted"	5	-0.400626415804904	0.103270883756805	0.000104725487564028	0.416238664949083
"AIS"	"lapef"	"Inverse variance weighted"	5	-0.458735951763075	0.116221172332023	7.9105334873797e-05	0.682367105576479
